13|2013101273|5|5844|5
13|2013101273|3|5844|5
13|2013101273|1|5844|5
13|2013101272|5|5844|5
13|2013101272|3|5844|5
13|2013101272|1|5844|5
13|2013100709|2|3779|5
13|2013100709|3|3111|5
13|2013100709|5|2444|5
13|2013100709|3|1111|4
13|2013100709|5|883|4
13|2013100709|10|489|4
3003|2013101245|3|1000|4
13|2013100709|3|670|3
13|2013100709|6|333|3
13|2013104499|100|700|4
13|2013104499|50|700|4
13|2013104499|20|700|4
13|2013104499|15|700|4
13|2013104499|13|700|4
13|2013104499|11|700|4
13|2013104499|9|700|4
13|2013104499|7|700|4
13|2013104499|5|700|4
13|2013104499|3|700|4
13|2013100709|5|2333|4
13|2013100709|7|1333|4
3002|2013101273|3|1000|5
13|2013104914|1|1600|3
13|2013106098|1|3333|3
13|2013106585|1|3333|4
13|2013106177|1|667|2
13|2013000026|1|667|2
13|2013106045|1|667|2
13|2013105726|1|3333|4
13|2013106599|1|12000|4
1013|2013100709|4|4500|3
3003|2013101245|5|500|4
1013|2013100709|5|3000|3
1|2013106611|2|250|1
1|2013106068|1|300|1
1|2013106068|1|300|1
3002|2013101273|5|500|5
3001|2013101272|5|500|5
1013|2013100709|7|500|3
1013|2013103014|1|500|3
1013|2013103004|1|500|3
1013|2013102994|1|500|3
1013|2013102984|1|500|3
13|2013106601|1|500|2
3001|2013101272|3|1000|5
